iter	RMSE
0	14.89420452
1	14.51052607
2	14.11414578
3	13.74689557
4	13.39457554
5	13.07863041
6	12.78847675
7	12.48132681
8	12.20586001
9	11.91149084
10	11.62795813
11	11.3880112
12	11.16817223
13	10.92513517
14	10.68919416
15	10.44720656
16	10.23779712
17	10.02096191
18	9.806762621
19	9.609888552
20	9.440977569
21	9.263240513
22	9.082749111
23	8.910769479
24	8.761699868
25	8.60207532
26	8.453216035
27	8.322918442
28	8.184182188
29	8.059795139
30	7.949575905
31	7.827228593
32	7.726332065
33	7.613927535
34	7.502235429
35	7.40565755
36	7.313904483
37	7.229288138
38	7.139910654
39	7.053224618
40	6.978234203
41	6.911713912
42	6.834092512
43	6.771637794
44	6.705335585
45	6.646874073
46	6.584798996
47	6.524763145
48	6.461852014
49	6.40194152
50	6.354407763
51	6.305850255
52	6.259406212
53	6.209500264
54	6.162555259
55	6.117322074
56	6.078590118
57	6.038740812
58	6.002487183
59	5.967870641
60	5.933601426
61	5.893406322
62	5.860295406
63	5.82639525
64	5.798451446
65	5.766846807
66	5.742429029
67	5.714913982
68	5.692219951
69	5.669409729
70	5.645035868
71	5.622714357
72	5.600015335
73	5.578743746
74	5.558066403
75	5.5392155
76	5.518647556
77	5.500732327
78	5.485247943
79	5.468419589
80	5.456219562
81	5.43787949
82	5.423303829
83	5.409878562
84	5.397234881
85	5.382250507
86	5.372928121
87	5.359969051
88	5.346001445
89	5.331545273
90	5.320921838
91	5.312166121
92	5.302995111
93	5.292404253
94	5.282978716
95	5.273745613
96	5.262682344
97	5.254260621
98	5.246146588
99	5.239242353
100	5.227853425
101	5.215860426
102	5.207043091
103	5.193090938
104	5.184027798
105	5.174526739
106	5.164588618
107	5.157899327
108	5.152055353
109	5.139422995
110	5.130799989
111	5.123852025
112	5.118963881
113	5.108905887
114	5.104860242
115	5.098269956
116	5.090582189
117	5.083544564
118	5.078640107
119	5.072209773
120	5.066115822
121	5.05985096
122	5.054052248
123	5.045327111
124	5.041651656
125	5.036430743
126	5.031539229
127	5.024979793
128	5.022197523
129	5.017587463
130	5.010464004
131	5.006990641
132	4.999713385
133	4.994536093
134	4.990989945
135	4.986736125
136	4.980994464
137	4.978818274
138	4.973635612
139	4.967099328
140	4.96116982
141	4.958324934
142	4.950608287
143	4.945492422
144	4.939867006
145	4.935968928
146	4.92996005
147	4.923573674
148	4.915130405
149	4.90964447
150	4.905433632
151	4.900606732
152	4.893389703
153	4.890307937
154	4.887209829
155	4.878567699
156	4.873254509
157	4.868997158
158	4.865445212
159	4.861414037
160	4.857527335
161	4.853952117
162	4.848725403
163	4.846235931
164	4.841315289
165	4.83543852
166	4.829534467
167	4.826228086
168	4.822121934
169	4.819721142
170	4.812566129
171	4.80843588
172	4.801835335
173	4.796295236
174	4.793825023
175	4.7917539
176	4.786597327
177	4.782870485
178	4.780401119
179	4.771384135
180	4.767810766
181	4.764278668
182	4.762400062
183	4.756401777
184	4.753016557
185	4.750169426
186	4.745559024
187	4.742778468
188	4.738653956
189	4.732727131
190	4.728337992
191	4.725611134
192	4.720252775
193	4.717185342
194	4.711900075
195	4.708822122
196	4.705871784
197	4.704133956
198	4.702184522
199	4.699086848
200	4.697416461
201	4.693887607
202	4.691375534
203	4.689241602
204	4.686035304
205	4.683796509
206	4.680246004
207	4.674675439
208	4.672168456
209	4.666944497
210	4.662512844
211	4.659121837
212	4.654927123
213	4.6527623
214	4.648919788
215	4.647731785
216	4.641375519
217	4.63642351
218	4.633381874
219	4.62872829
220	4.626034403
221	4.624596877
222	4.620347538
223	4.617827798
224	4.61436084
225	4.611040575
226	4.608274039
227	4.606049802
228	4.602526449
229	4.597939883
230	4.592680818
231	4.589436399
232	4.585431712
233	4.583146257
234	4.581696135
235	4.579239892
236	4.576687345
237	4.57315934
238	4.570189677
239	4.566589189
240	4.562846598
241	4.559593375
242	4.553480592
243	4.55189855
244	4.550304075
245	4.547611055
246	4.543151996
247	4.539671904
248	4.536620274
249	4.534087867
250	4.530266139
251	4.525406518
252	4.520788531
253	4.516675316
254	4.510642353
255	4.505406426
256	4.503707428
257	4.502290943
258	4.498096468
259	4.495491161
260	4.48925539
261	4.485697677
262	4.484299261
263	4.481711835
264	4.477125289
265	4.472089197
266	4.470077215
267	4.467552818
268	4.464866339
269	4.462069619
270	4.457453616
271	4.455811382
272	4.452119082
273	4.448774067
274	4.446232869
275	4.442494843
276	4.441259642
277	4.438002561
278	4.433464763
279	4.432056253
280	4.426472899
281	4.422712908
282	4.418405482
283	4.417008576
284	4.41179826
285	4.408409303
286	4.405877928
287	4.402653614
288	4.399582129
289	4.396339615
290	4.390565202
291	4.38457478
292	4.384009343
293	4.38324008
294	4.381792755
295	4.38024105
296	4.374380751
297	4.372661146
298	4.368448465
299	4.364532343
300	4.362883549
301	4.362223264
302	4.35679965
303	4.35455268
304	4.351652494
305	4.34856736
306	4.346474541
307	4.342168496
308	4.339787689
309	4.33672923
310	4.329783792
