iter	Passed	Remaining
0	136	135927
1	137	68404
2	137	45847
3	138	34558
4	139	27799
5	140	23283
6	141	20082
7	142	17664
8	143	15760
9	143	14230
10	144	12977
11	144	11932
12	145	11046
13	146	10291
14	146	9643
15	147	9088
16	148	8581
17	148	8128
18	149	7722
19	150	7356
20	150	7025
21	151	6724
22	151	6450
23	152	6201
24	153	5976
25	153	5765
26	154	5566
27	155	5382
28	155	5210
29	156	5050
30	156	4900
31	157	4760
32	157	4627
33	158	4506
34	159	4393
35	160	4286
36	160	4181
37	161	4082
38	161	3987
39	162	3897
40	162	3812
41	163	3733
42	164	3658
43	165	3586
44	165	3516
45	166	3448
46	166	3383
47	167	3321
48	168	3262
49	168	3204
50	169	3149
51	169	3097
52	170	3048
53	171	3000
54	171	2953
55	172	2908
56	173	2863
57	173	2821
58	174	2780
59	174	2740
60	175	2701
61	176	2665
62	176	2631
63	177	2596
64	178	2562
65	178	2529
66	179	2496
67	179	2465
68	180	2434
69	181	2405
70	181	2376
71	182	2348
72	182	2323
73	183	2297
74	184	2271
75	184	2246
76	185	2221
77	185	2197
78	186	2173
79	187	2151
80	187	2126
81	188	2105
82	188	2084
83	189	2065
84	190	2045
85	190	2026
86	191	2006
87	191	1987
88	192	1969
89	192	1951
90	193	1932
91	194	1915
92	194	1898
93	195	1882
94	195	1866
95	196	1850
96	197	1834
97	197	1819
98	198	1804
99	198	1789
100	199	1774
101	199	1760
102	200	1746
103	201	1734
104	201	1721
105	202	1708
106	203	1695
107	203	1682
108	204	1669
109	204	1657
110	205	1645
111	206	1633
112	206	1621
113	207	1611
114	207	1600
115	208	1589
116	209	1578
117	209	1567
118	210	1557
119	210	1546
120	211	1536
121	212	1526
122	212	1516
123	213	1506
124	213	1497
125	214	1488
126	215	1479
127	215	1470
128	216	1460
129	216	1450
130	217	1441
131	217	1433
132	218	1424
133	219	1415
134	219	1407
135	220	1400
136	221	1392
137	221	1383
138	221	1375
139	222	1367
140	223	1359
141	223	1350
142	224	1343
143	224	1335
144	225	1328
145	225	1321
